"Display_Row","Liraglutide","Irbesartan","Gliclazide","Fluvastatin","Sitagliptin","Torasemide","Pravastatin","Azilsartan","Acarbose","Alogliptin","Indapamide","Repaglinide","Glibenclamide","Atenolol","Fenofibrate","Verapamil","Allopurinol","Dapagliflozin","Amiodarone","Metoprolol","Atorvastatin","Bisoprolol","Apixaban","Amlodipine","Furosemide","Enalapril","Vildagliptin","Carvedilol","Nifedipine","Warfarin","Rivaroxaban","Rosuvastatin","Olmesartan","Esomeprazole","Metformin","Prasugrel","Lansoprazole","Omeprazole","Diltiazem","Aspirin","Rabeprazole","Clopidogrel"
"All Others (Japanese-4D)",0,0,0,0,0,0.00662251655629139,0.00662251655629139,0,0.0264900662251656,0,0.00662251655629139,0.00662251655629139,0,0,0,0,0,0,0,0.00662251655629139,0,0,0.00662251655629139,0,0,0,0.0132450331125828,0,0,0,0,0,0,0.0397350993377483,0.00662251655629139,0.00662251655629139,0.033112582781457,0.0264900662251656,0,0,0.0264900662251656,0
"All Others (MetaCardis)",0.0201900237529691,0.0261282660332542,0.0380047505938242,0.0213776722090261,0.0273159144893112,0.0249406175771971,0.0380047505938242,0.0106888361045131,0.00712589073634204,0.00356294536817102,0.0570071258907363,0.00475059382422803,0.00593824228028504,0.0106888361045131,0.0154394299287411,0.0178147268408551,0.0273159144893112,0.0201900237529691,0.0285035629453682,0.00475059382422803,0.00712589073634204,0.00712589073634204,0.0249406175771971,0.00593824228028504,0.0534441805225653,0.0190023752969121,0.0225653206650831,0.0261282660332542,0.0106888361045131,0.0510688836104513,0.0130641330166271,0.0249406175771971,0.0391923990498812,0.0593824228028504,0.0403800475059382,0.0237529691211401,0.0522565320665083,0.0249406175771971,0.0166270783847981,0.00712589073634204,0.0273159144893112,0.0249406175771971
"Streptococcus (Japanese-4D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0,0,0.714285714285714,0.571428571428571,0,0,0.571428571428571,0
"Rothia (MetaCardis)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,1,0
"Veillonella (MetaCardis)",0.153846153846154,0.153846153846154,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0.0769230769230769,0,0,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.0769230769230769,0.153846153846154,0.230769230769231,0.0769230769230769,0,0.0769230769230769,0,0,0,0,0
"Streptococcus (MetaCardis)",0,0.0540540540540541,0,0.0810810810810811,0,0.0540540540540541,0.027027027027027,0,0,0,0.027027027027027,0,0,0,0.0540540540540541,0,0.027027027027027,0.027027027027027,0,0,0,0,0.027027027027027,0,0.135135135135135,0,0.027027027027027,0,0.0540540540540541,0.027027027027027,0,0.027027027027027,0.216216216216216,0.297297297297297,0.108108108108108,0.0540540540540541,0.243243243243243,0.0810810810810811,0.027027027027027,0,0.108108108108108,0.108108108108108
