"Display_Row","Drug","Percentage","Cohort","Group","Total_Species","Sig_Count"
"All Others (MetaCardis)","Gliclazide",0.0380047505938242,"MetaCardis","All Others",842,32
"All Others (MetaCardis)","Indapamide",0.0570071258907363,"MetaCardis","All Others",842,48
"All Others (MetaCardis)","Irbesartan",0.0261282660332542,"MetaCardis","All Others",842,22
"All Others (MetaCardis)","Lansoprazole",0.0522565320665083,"MetaCardis","All Others",842,44
"All Others (MetaCardis)","Liraglutide",0.0201900237529691,"MetaCardis","All Others",842,17
"All Others (MetaCardis)","Metformin",0.0403800475059382,"MetaCardis","All Others",842,34
"All Others (MetaCardis)","Metoprolol",0.00475059382422803,"MetaCardis","All Others",842,4
"All Others (MetaCardis)","Nifedipine",0.0106888361045131,"MetaCardis","All Others",842,9
"All Others (MetaCardis)","Olmesartan",0.0391923990498812,"MetaCardis","All Others",842,33
"All Others (MetaCardis)","Omeprazole",0.0249406175771971,"MetaCardis","All Others",842,21
"All Others (MetaCardis)","Prasugrel",0.0237529691211401,"MetaCardis","All Others",842,20
"All Others (MetaCardis)","Pravastatin",0.0380047505938242,"MetaCardis","All Others",842,32
"All Others (MetaCardis)","Rabeprazole",0.0273159144893112,"MetaCardis","All Others",842,23
"All Others (MetaCardis)","Repaglinide",0.00475059382422803,"MetaCardis","All Others",842,4
"All Others (MetaCardis)","Rivaroxaban",0.0130641330166271,"MetaCardis","All Others",842,11
"All Others (MetaCardis)","Rosuvastatin",0.0249406175771971,"MetaCardis","All Others",842,21
"All Others (MetaCardis)","Sitagliptin",0.0273159144893112,"MetaCardis","All Others",842,23
"All Others (MetaCardis)","Torasemide",0.0249406175771971,"MetaCardis","All Others",842,21
"All Others (MetaCardis)","Verapamil",0.0178147268408551,"MetaCardis","All Others",842,15
"All Others (MetaCardis)","Vildagliptin",0.0225653206650831,"MetaCardis","All Others",842,19
"All Others (MetaCardis)","Warfarin",0.0510688836104513,"MetaCardis","All Others",842,43
"Streptococcus (Japanese-4D)","Acarbose",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Allopurinol",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Alogliptin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Amiodarone",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Amlodipine",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Apixaban",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Aspirin",0,"Japanese-4D","Streptococcus",7,0
"Streptococcus (Japanese-4D)","Atenolol",0,"Japanese-4D","Streptococcus",7,0
