"Display_Row","Drug","Cohort","Fisher_P","Fisher_FDR","Significance","Label"
"MetaCardis","Carvedilol","MetaCardis",0.752434008980196,1,"Not Significant",""
"MetaCardis","Clopidogrel","MetaCardis",0.0518517461438311,0.435554667608181,"Not Significant",""
"MetaCardis","Dapagliflozin","MetaCardis",0.304105318038689,1,"Not Significant",""
"MetaCardis","Diltiazem","MetaCardis",0.59595204839474,1,"Not Significant",""
"MetaCardis","Enalapril","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Esomeprazole","MetaCardis",9.36683798017105e-07,2.95055396375388e-05,"FDR <= 0.05","*"
"MetaCardis","Fenofibrate","MetaCardis",0.215327166447756,1,"Not Significant",""
"MetaCardis","Fluvastatin","MetaCardis",0.11771443156931,0.780632546196479,"Not Significant",""
"MetaCardis","Furosemide","MetaCardis",0.0686880756244319,0.488064635576489,"Not Significant",""
"MetaCardis","Glibenclamide","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Gliclazide","MetaCardis",0.866674550677011,1,"Not Significant",""
"MetaCardis","Indapamide","MetaCardis",0.951235980357178,1,"Not Significant",""
"MetaCardis","Irbesartan","MetaCardis",0.0587032733661626,0.46228827775853,"Not Significant",""
"MetaCardis","Lansoprazole","MetaCardis",0.000150736980024997,0.00201288248889706,"FDR <= 0.05","*"
"MetaCardis","Liraglutide","MetaCardis",0.304105318038689,1,"Not Significant",""
"MetaCardis","Metformin","MetaCardis",0.0697235193680698,0.488064635576489,"Not Significant",""
"MetaCardis","Metoprolol","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Nifedipine","MetaCardis",0.130437952150628,0.821759098548957,"Not Significant",""
"MetaCardis","Olmesartan","MetaCardis",8.14600020754848e-05,0.00146628003735873,"FDR <= 0.05","*"
"MetaCardis","Omeprazole","MetaCardis",0.0518517461438311,0.435554667608181,"Not Significant",""
"MetaCardis","Prasugrel","MetaCardis",0.369894871969618,1,"Not Significant",""
"MetaCardis","Pravastatin","MetaCardis",0.866674550677011,1,"Not Significant",""
"MetaCardis","Rabeprazole","MetaCardis",0.00488416917936579,0.0473388705076992,"FDR <= 0.05","*"
"MetaCardis","Repaglinide","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Rivaroxaban","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Rosuvastatin","MetaCardis",0.391349953785458,1,"Not Significant",""
"MetaCardis","Sitagliptin","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Torasemide","MetaCardis",0.391349953785458,1,"Not Significant",""
"MetaCardis","Verapamil","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Vildagliptin","MetaCardis",0.348169288126903,1,"Not Significant",""
"MetaCardis","Warfarin","MetaCardis",0.752971056435625,1,"Not Significant",""
"Japanese-4D","Acarbose","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Allopurinol","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Alogliptin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Amiodarone","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Amlodipine","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Apixaban","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Aspirin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Atenolol","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Atorvastatin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Azilsartan","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Bisoprolol","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Carvedilol","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Clopidogrel","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Dapagliflozin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Diltiazem","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Enalapril","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Esomeprazole","Japanese-4D",2.94710713296499e-05,0.000618892497922647,"FDR <= 0.05","*"
"Japanese-4D","Fenofibrate","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Fluvastatin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Furosemide","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Glibenclamide","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Gliclazide","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Indapamide","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Irbesartan","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Lansoprazole","Japanese-4D",5.99045689648803e-07,2.51599189652497e-05,"FDR <= 0.05","*"
"Japanese-4D","Liraglutide","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Metformin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Metoprolol","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Nifedipine","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Olmesartan","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Omeprazole","Japanese-4D",0.000175727836332283,0.00201288248889706,"FDR <= 0.05","*"
"Japanese-4D","Prasugrel","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Pravastatin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Rabeprazole","Japanese-4D",0.000175727836332283,0.00201288248889706,"FDR <= 0.05","*"
"Japanese-4D","Repaglinide","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Rivaroxaban","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Rosuvastatin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Sitagliptin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Torasemide","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Verapamil","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Vildagliptin","Japanese-4D",1,1,"Not Significant",""
"Japanese-4D","Warfarin","Japanese-4D",1,1,"Not Significant",""
