Display_Row,Clostridium_innocuum,Streptococcus_anginosus,Streptococcus_oralis,Veillonella_parvula,Eisenbergiella_tayi,Bifidobacterium_dentium,Streptococcus_mutans,Streptococcus_vestibularis,Streptococcus_gordonii,Klebsiella_variicola,Rothia_mucilaginosa,Ruminococcaceae_bacterium_D5,Coprobacillus_cateniformis,Veillonella_sp_T11011_6,Veillonella_atypica
CRC,0.2222211111166666,0.111110000011111,0.3333322222259259,0.111110000011111,0.111110000011111,0.111110000011111,0.0,0.0,0.0,0.0,0.111110000011111,0.111110000011111,0.111110000011111,-0.111110000011111,-0.111110000011111
CVD,0.2499975000249997,0.2499975000249997,0.4999975000124999,0.0,0.2499975000249997,0.4999975000124999,0.2499975000249997,0.4999975000124999,0.2499975000249997,0.2499975000249997,0.4999975000124999,0.0,0.0,0.2499975000249997,0.2499975000249997
T2D,0.0,0.1666650000166665,0.1666650000166665,0.0,0.1666650000166665,0.0,0.0,0.3333316666749999,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,-0.1666650000166665
Parkinsons,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.6666633333499998,0.0,0.0,0.0,0.0,0.0,0.333330000033333,0.0,0.0
NAFLD_FLD,0.0,0.0,0.0,0.0,0.0,0.0,-0.333330000033333,0.0,0.0,0.0,0.333330000033333,-0.333330000033333,0.333330000033333,0.0,0.333330000033333
Polyps,0.0,0.0,0.0,0.0,0.0,0.0,-0.1999980000199998,0.0,0.0,0.0,0.0,-0.1999980000199998,0.1999980000199998,0.0,0.0
