Taxon,CRC_Unadjusted,CRC_Adjusted,CVD_Unadjusted,CVD_Adjusted,NAFLD_FLD_Unadjusted,NAFLD_FLD_Adjusted,Parkinsons_Unadjusted,Parkinsons_Adjusted,Polyps_Unadjusted,Polyps_Adjusted,T2D_Unadjusted,T2D_Adjusted
Turicimonas_muris,-0.3333322222259259,-0.4444433333361111,-0.24999750002499976,-0.49999750001249993,0.0,0.0,0.0,0.0,0.0,-0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Anaeromassilibacillus_sp_An250,0.111110000011111,0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Prevotella_stercorea,0.0,0.0,-0.49999750001249993,-0.49999750001249993,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Roseburia_sp_CAG_471,0.0,0.0,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.19999800001999982,0.0,0.0,0.0
Slackia_isoflavoniconvertens,0.0,0.0,0.24999750002499976,0.0,0.333330000033333,0.333330000033333,0.333330000033333,0.333330000033333,0.0,0.0,0.1666650000166665,0.0
Blautia_wexlerae,-0.22222111111666662,-0.22222111111666662,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,-0.19999800001999982,-0.19999800001999982,0.3333316666749999,0.3333316666749999
Holdemanella_biformis,0.0,0.0,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0
Bifidobacterium_longum,-0.22222111111666662,-0.22222111111666662,0.49999750001249993,0.49999750001249993,0.333330000033333,0.333330000033333,0.333330000033333,0.333330000033333,-0.19999800001999982,-0.19999800001999982,0.3333316666749999,0.1666650000166665
Enterorhabdus_caecimuris,0.0,0.0,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,0.0
Paraprevotella_clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enorma_massiliensis,0.111110000011111,0.111110000011111,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,0.1666650000166665
Eubacterium_sp_CAG_251,-0.3333322222259259,-0.3333322222259259,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.19999800001999982,-0.19999800001999982,-0.1666650000166665,-0.3333316666749999
Prevotella_sp_CAG_279,0.111110000011111,0.111110000011111,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,-0.19999800001999982,0.0,0.0
Catenibacterium_mitsuokai,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666633333499998,-0.6666633333499998,0.0,0.0,0.08333291666874998,0.08333291666874998
Ruthenibacterium_lactatiformans,0.5555544444466667,0.5555544444466667,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.4999983333388889,0.3333316666749999
Romboutsia_ilealis,-0.111110000011111,0.0,0.24999750002499976,0.24999750002499976,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.09999950000249998,-0.09999950000249998,-0.3333316666749999,-0.3333316666749999
Turicibacter_sanguinis,0.0,0.0,0.0,0.0,0.0,0.0,0.6666633333499998,0.6666633333499998,-0.19999800001999982,-0.19999800001999982,0.0,0.0
Desulfovibrio_piger,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0,-0.1666650000166665,0.0
Eubacterium_sp_CAG_180,0.0,0.0,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,-0.19999800001999982,-0.19999800001999982,0.1666650000166665,0.1666650000166665
Dialister_sp_CAG_357,-0.111110000011111,-0.111110000011111,-0.24999750002499976,-0.24999750002499976,-0.333330000033333,-0.333330000033333,0.333330000033333,0.333330000033333,-0.19999800001999982,-0.19999800001999982,0.0,0.0
Gordonibacter_pamelaeae,0.111110000011111,0.111110000011111,0.49999750001249993,0.49999750001249993,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Eubacterium_sp_CAG_274,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intestinibacter_bartlettii,-0.111110000011111,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0,0.0,0.0
Flavonifractor_plautii,0.22222111111666662,0.22222111111666662,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,-0.19999800001999982,-0.19999800001999982,0.4999983333388889,0.4999983333388889
Streptococcus_thermophilus,-0.111110000011111,-0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.3333316666749999
Bacteroides_coprophilus,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Collinsella_aerofaciens,0.3333322222259259,0.3333322222259259,0.7499975000083333,0.7499975000083333,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.4999983333388889,0.4999983333388889
Roseburia_sp_CAG_303,-0.5555544444466667,-0.5555544444466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333316666749999,-0.1666650000166665
Megamonas_funiformis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
