Taxon,age_association_controls,CRC,CVD,NAFLD_FLD,Parkinsons,Polyps,T2D
Faecalibacterium_prausnitzii,0.0,-0.3333322222259259,0.0,-0.333330000033333,-0.333330000033333,0.0,-0.4999983333388889
Bacteroides_uniformis,-0.027777638889583324,0.111110000011111,-0.24999750002499976,0.333330000033333,0.0,0.19999800001999982,0.0
Odoribacter_splanchnicus,0.018518456790329218,0.3333322222259259,0.0,-0.333330000033333,0.0,0.0,-0.1666650000166665
Fusicatenibacter_saccharivorans,-0.07407382716131686,-0.3333322222259259,-0.24999750002499976,0.0,-0.16666583333749996,0.0,-0.1666650000166665
Coprococcus_catus,0.027777638889583324,0.111110000011111,0.0,0.333330000033333,0.0,0.0,0.08333291666874998
Eubacterium_rectale,-0.07407382716131686,-0.3333322222259259,0.24999750002499976,-0.333330000033333,-0.6666633333499998,0.0,-0.1666650000166665
Oscillibacter_sp_57_20,0.0,0.0,-0.24999750002499976,0.0,0.333330000033333,0.0,0.0
Eubacterium_ramulus,-0.11111055555833331,0.0,0.0,0.0,0.0,0.0,-0.08333291666874998
Agathobaculum_butyriciproducens,-0.22222166666805554,-0.111110000011111,0.0,0.0,0.0,0.0,-0.1666650000166665
Roseburia_inulinivorans,-0.11111055555833331,0.0,0.0,-0.333330000033333,-0.6666633333499998,0.19999800001999982,0.0
Ruminococcus_bromii,0.11111055555833331,-0.05555527777916665,0.0,-0.333330000033333,0.0,-0.19999800001999982,-0.1666650000166665
Roseburia_intestinalis,-0.0555550000055555,0.0,-0.24999750002499976,0.0,-0.9999966666777778,0.19999800001999982,-0.4999983333388889
Roseburia_hominis,0.027777638889583324,0.0,0.0,-0.333330000033333,0.0,0.0,-0.1666650000166665
Eubacterium_eligens,0.09999980000039999,-0.4444433333361111,-0.24999750002499976,0.0,0.0,-0.19999800001999982,-0.3333316666749999
Alistipes_shahii,0.07407382716131686,0.111110000011111,0.0,0.0,0.6666633333499998,0.0,0.0
Alistipes_putredinis,0.0,0.111110000011111,0.24999750002499976,0.0,0.0,0.0,-0.1666650000166665
Roseburia_faecis,0.0,-0.3333322222259259,0.24999750002499976,0.0,-0.6666633333499998,0.19999800001999982,0.0
Parabacteroides_merdae,-0.07407382716131686,0.111110000011111,0.0,0.0,-0.333330000033333,0.0,-0.1666650000166665
Eubacterium_ventriosum,0.0,-0.3333322222259259,0.24999750002499976,0.0,-0.6666633333499998,-0.19999800001999982,0.0
Adlercreutzia_equolifaciens,0.0,-0.111110000011111,-0.24999750002499976,0.0,0.333330000033333,0.0,-0.1666650000166665
Gemmiger_formicilis,0.0,-0.3333322222259259,0.49999750001249993,0.333330000033333,0.0,0.19999800001999982,-0.1666650000166665
Parasutterella_excrementihominis,-0.22222166666805554,-0.05555527777916665,-0.12499937500312497,0.333330000033333,-0.333330000033333,0.0,-0.3333316666749999
Bacteroides_vulgatus,-0.22222166666805554,0.111110000011111,-0.24999750002499976,0.0,-0.333330000033333,0.0,0.1666650000166665
Eubacterium_hallii,-0.11111055555833331,-0.22222111111666662,-0.24999750002499976,0.0,-0.333330000033333,0.0,-0.1666650000166665
Butyricimonas_virosa,0.027777638889583324,0.22222111111666662,0.0,0.0,0.333330000033333,0.0,0.3333316666749999
Bilophila_wadsworthia,0.027777638889583324,0.22222111111666662,0.0,0.333330000033333,0.333330000033333,0.0,0.3333316666749999
