"Cohort","Drug","focal_sig","focal_nonsig","others_sig","others_nonsig","Fisher_P","Fisher_FDR","Significance"
"MetaCardis","Sitagliptin",0,52,23,819,1,1,"Not Significant"
"MetaCardis","Torasemide",2,50,21,821,0.391349953785458,1,"Not Significant"
"MetaCardis","Verapamil",0,52,15,827,1,1,"Not Significant"
"MetaCardis","Vildagliptin",2,50,19,823,0.348169288126903,1,"Not Significant"
"MetaCardis","Warfarin",2,50,43,799,0.752971056435625,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Acarbose",0,60,10,983,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Allopurinol",1,59,23,970,0.970517677991478,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Alogliptin",0,60,3,990,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Amiodarone",0,60,24,969,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Amlodipine",0,60,5,988,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Apixaban",1,59,22,971,0.961827356084567,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Aspirin",0,60,6,987,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Atenolol",0,60,9,984,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Atorvastatin",0,60,6,987,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Azilsartan",0,60,9,984,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Bisoprolol",1,59,6,987,0.710627315566127,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Carvedilol",1,59,22,971,0.9664578297525,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Clopidogrel",4,56,21,972,0.20530007536155,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Dapagliflozin",2,58,17,976,0.666106570435029,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Diltiazem",1,59,14,979,0.904413891116976,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Enalapril",0,60,16,977,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Esomeprazole",20,40,56,937,6.98767857123302e-10,8.80447499975361e-08,"FDR <= 0.05"
"Combined both Cohorts (Fisher's Method)","Fenofibrate",2,58,13,980,0.545982853325313,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Fluvastatin",3,57,18,975,0.36956371149277,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Furosemide",6,54,45,948,0.252647083093893,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Glibenclamide",0,60,5,988,1,1,"Not Significant"
"Combined both Cohorts (Fisher's Method)","Gliclazide",1,59,32,961,0.990688525994588,1,"Not Significant"
